t-30,t,t-29,t-28,t-27,t-26,t-25,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1
21335639.0,39164600.0,79355785.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0
79355785.0,4423957.0,26105616.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0
26105616.0,19852765.0,-17587388.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0
-17587388.0,41114779.0,-8201625.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0
-8201625.0,-11445779.0,12667854.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0
12667854.0,-4623853.0,-6563986.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0
-6563986.0,143985691.0,26022968.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0
26022968.0,16501723.0,88745130.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0
88745130.0,-66257601.0,32533115.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0
32533115.0,-28897461.0,-2264450.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0
-2264450.0,-9818684.0,30994590.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0
30994590.0,-56724397.0,-10543943.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0
-10543943.0,29635594.0,-13066150.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0
-13066150.0,10290892.0,-1415529.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0
-1415529.0,30944571.0,57302090.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0
57302090.0,-27222373.0,9012646.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0
9012646.0,23450665.0,-6909757.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0
-6909757.0,-4436198.0,37423.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0
37423.0,-7522868.0,1919207.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0
1919207.0,-22054996.0,-5714659.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0
-5714659.0,-19257253.0,18175266.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0
18175266.0,-37102303.0,119248950.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0
119248950.0,-129282031.0,34762626.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0
34762626.0,-70406686.0,-10265495.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0
-10265495.0,-13459019.0,-12149679.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0
-12149679.0,-12351819.0,-4984895.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0
-4984895.0,-192533.0,-10417307.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0
-10417307.0,8721550.0,5371723.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0
5371723.0,71010003.0,28697166.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0
28697166.0,23109826.0,39164600.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0
39164600.0,-22589530.0,4423957.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0
4423957.0,-16269702.0,19852765.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0
19852765.0,13327452.0,41114779.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0
41114779.0,-505965.0,-11445779.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0
-11445779.0,99339857.0,-4623853.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0
-4623853.0,48644621.0,143985691.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0
143985691.0,-60708119.0,16501723.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0
16501723.0,10998402.0,-66257601.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0
-66257601.0,55224842.0,-28897461.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0
-28897461.0,28370395.0,-9818684.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0
-9818684.0,19400919.0,-56724397.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0
-56724397.0,73623950.0,29635594.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0
29635594.0,78097327.0,10290892.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0
10290892.0,51434952.0,30944571.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0
30944571.0,-4720029.0,-27222373.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0
-27222373.0,22662285.0,23450665.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0
23450665.0,-12966187.0,-4436198.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0
-4436198.0,25841422.0,-7522868.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0
-7522868.0,89997577.0,-22054996.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0
-22054996.0,67616296.0,-19257253.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0,89997577.0
-19257253.0,81265210.0,-37102303.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0,89997577.0,67616296.0
-37102303.0,71789202.0,-129282031.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0,89997577.0,67616296.0,81265210.0
-129282031.0,139342237.0,-70406686.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0,89997577.0,67616296.0,81265210.0,71789202.0
-70406686.0,52031106.0,-13459019.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0,89997577.0,67616296.0,81265210.0,71789202.0,139342237.0
-13459019.0,48800181.0,-12351819.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0,89997577.0,67616296.0,81265210.0,71789202.0,139342237.0,52031106.0
-12351819.0,273662717.0,-192533.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0,89997577.0,67616296.0,81265210.0,71789202.0,139342237.0,52031106.0,48800181.0
-192533.0,142174161.0,8721550.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0,89997577.0,67616296.0,81265210.0,71789202.0,139342237.0,52031106.0,48800181.0,273662717.0
8721550.0,138677177.0,71010003.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0,89997577.0,67616296.0,81265210.0,71789202.0,139342237.0,52031106.0,48800181.0,273662717.0,142174161.0
71010003.0,58156552.0,23109826.0,-22589530.0,-16269702.0,13327452.0,-505965.0,99339857.0,48644621.0,-60708119.0,10998402.0,55224842.0,28370395.0,19400919.0,73623950.0,78097327.0,51434952.0,-4720029.0,22662285.0,-12966187.0,25841422.0,89997577.0,67616296.0,81265210.0,71789202.0,139342237.0,52031106.0,48800181.0,273662717.0,142174161.0,138677177.0
